,timestamp,x,y,z,time
549,599620914812,-81,123,-1023,2771
550,599620914817,-79,125,-1026,2776
551,599620914822,-85,124,-1022,2781
552,599620914827,-82,120,-1022,2786
553,599620914832,-85,125,-1019,2791
554,599620914837,-81,122,-1016,2796
555,599620914842,-83,122,-1026,2801
556,599620914847,-85,123,-1020,2806
557,599620914852,-86,122,-1021,2811
558,599620914857,-82,123,-1024,2816
559,599620914862,-84,122,-1026,2821
560,599620914867,-83,123,-1030,2826
561,599620914872,-80,124,-1022,2831
562,599620914877,-82,122,-1020,2836
563,599620914882,-81,123,-1025,2841
564,599620914887,-85,125,-1027,2846
565,599620914892,-81,123,-1025,2851
566,599620914897,-84,120,-1026,2856
567,599620914902,-82,121,-1023,2861
568,599620914907,-83,124,-1020,2866
569,599620914912,-82,123,-1017,2871
570,599620914917,-81,118,-1021,2876
571,599620914922,-84,121,-1019,2881
572,599620914927,-86,123,-1019,2886
573,599620914932,-84,124,-1021,2891
574,599620914937,-78,125,-1025,2896
575,599620914942,-87,121,-1023,2901
576,599620914949,-85,122,-1030,2908
577,599620914954,-85,120,-1027,2913
578,599620914959,-85,123,-1026,2918
579,599620914964,-81,121,-1027,2923
580,599620914969,-79,120,-1017,2928
581,599620914974,-85,123,-1016,2933
582,599620914979,-83,125,-1025,2938
583,599620914984,-84,120,-1025,2943
584,599620914989,-83,121,-1030,2948
585,599620914994,-83,125,-1028,2953
586,599620914999,-83,119,-1026,2958
587,599620915004,-83,122,-1019,2963
588,599620915009,-83,127,-1021,2968
589,599620915014,-83,122,-1027,2973
590,599620915019,-83,129,-1026,2978
591,599620915024,-84,125,-1020,2983
592,599620915029,-85,124,-1022,2988
593,599620915034,-84,122,-1020,2993
594,599620915039,-81,130,-1022,2998
595,599620915044,-82,125,-1023,3003
596,599620915049,-86,131,-1020,3008
597,599620915054,-81,123,-1018,3013
598,599620915059,-83,125,-1016,3018
599,599620915064,-81,124,-1018,3023
600,599620915069,-85,125,-1021,3028
601,599620915074,-84,122,-1023,3033
602,599620915079,-87,125,-1016,3038
603,599620915084,-87,120,-1021,3043
604,599620915089,-87,123,-1021,3048
605,599620915094,-86,121,-1021,3053
606,599620915099,-82,126,-1023,3058
607,599620915104,-86,124,-1019,3063
608,599620915109,-83,119,-1024,3068
609,599620915114,-87,120,-1022,3073
610,599620915119,-85,127,-1022,3078
611,599620915124,-84,123,-1025,3083
612,599620915131,-79,125,-1025,3090
613,599620915136,-85,124,-1027,3095
614,599620915141,-84,120,-1025,3100
615,599620915146,-84,124,-1025,3105
616,599620915151,-83,125,-1023,3110
617,599620915156,-82,125,-1023,3115
618,599620915161,-86,122,-1021,3120
619,599620915166,-81,120,-1021,3125
620,599620915171,-83,122,-1020,3130
621,599620915176,-82,124,-1023,3135
622,599620915181,-82,124,-1023,3140
623,599620915186,-81,121,-1022,3145
624,599620915191,-85,124,-1024,3150
625,599620915196,-82,123,-1019,3155
626,599620915201,-84,122,-1021,3160
627,599620915206,-88,119,-1023,3165
628,599620915211,-86,119,-1020,3170
629,599620915216,-86,123,-1023,3175
630,599620915221,-84,123,-1022,3180
631,599620915226,-84,124,-1020,3185
632,599620915231,-82,122,-1025,3190
633,599620915236,-84,122,-1023,3195
634,599620915241,-78,118,-1022,3200
635,599620915246,-83,121,-1022,3205
636,599620915251,-80,123,-1026,3210
637,599620915256,-82,120,-1020,3215
638,599620915261,-79,124,-1022,3220
639,599620915266,-83,124,-1023,3225
640,599620915271,-83,120,-1023,3230
641,599620915276,-82,121,-1022,3235
642,599620915281,-81,124,-1023,3240
643,599620915286,-84,119,-1016,3245
644,599620915291,-85,125,-1020,3250
645,599620915296,-82,121,-1021,3255
646,599620915301,-84,119,-1021,3260
647,599620915306,-78,119,-1025,3265
648,599620915312,-81,120,-1026,3271
649,599620915317,-83,125,-1026,3276
650,599620915322,-79,123,-1027,3281
651,599620915327,-83,124,-1021,3286
